Date,Stock_Volume
2023.03.14,"123,893"
2023.03.15,"157,339"
2023.03.16,"186,844"
2023.03.17,"71,512"
2023.03.20,"38,277"
2023.03.21,"71,388"
2023.03.22,"54,964"
2023.03.23,"74,210"
2023.03.24,"38,687"
2023.03.27,"63,147"
2023.03.28,"75,484"
2023.03.29,"86,934"
2023.03.30,"88,785"
2023.03.31,"72,472"
2023.04.03,"64,542"
2023.04.04,"78,818"
2023.04.05,"54,120"
2023.04.06,"76,366"
2023.04.07,"64,741"
2023.04.10,"68,998"
2023.04.11,"112,419"
2023.04.12,"121,323"
2023.04.13,"87,268"
2023.04.14,"64,198"
2023.04.17,"62,861"
2023.04.18,"64,022"
2023.04.19,"35,355"
2023.04.20,"94,145"
2023.04.21,"71,994"
2023.04.24,"42,533"
2023.04.25,"76,432"
2023.04.26,"74,604"
2023.04.27,"72,112"
2023.04.28,"93,139"
2023.05.02,"60,166"
2023.05.03,"80,268"
2023.05.04,"42,248"
